airtable_id,source,title,artist,status,purchase_price,currency,location,sale_price,ownership
recNwAOHNcmJ5UzGc,Stock,Untitled,Christopher Wool,available,1666666.6,USD,UOVO Delaware,,33.3333%
recO7lVJToNIgUXOj,Stock,Ways of Seeing 003,Sang Woo Kim,available,13950,EUR,14T,,100.0%
recO7vkkUVk8t5LLP,Stock,Untitled (Body Print),David Hammons,sold,700000,USD,,1100000,100.0%
recO9iZaaVrnQDdLX,Stock,Writer's Bench: Grand Concourse & 149th Street BX,José Parlà,sold,72250,USD,,1498000,100.0%
recO9jJ3heZKNecZc,Stock,Floating Head 1,Andra Ursuta,sold,72000,USD,,44520,100.0%
recOH25q5TvV7Aghw,Stock,Untitled (Denunzia),Maurizio Cattelan,available,250000,USD,Collonge,,100.0%
recOPAG1Pmw0RA6Uq,Stock,Trivial Pursuits,Tomas Harker,sold,3500,CHF,,3200,100.0%
recOQiJsrvNQjSMhb,Stock,Chiffon Dress,Aks Misyuta,available,4800,USD,14T,,100.0%
recOqClhCwhKoZqd1,Stock,Tuna,Julia Isidrez,available,28000,USD,14T,,100.0%
recP2UEwyiDqxP5kq,Stock,Untitled,Anna Zemankova,available,30000,USD,CHI,,50.0%
recPAaczWTnq4DV8V,Stock,Untitled,Magdalena Odundo,participating,177000,USD,Matt Knauer,,50.0%
recPAtN4wi6PArcom,Stock,Diverses oeuvres,John Kacere,participating,325125,USD,Gratin,,50.0%
recPKepLeUgcdW9gG,Stock,Pyro,Jean-Michel Basquiat,sold,1274060,USD,,1500000,10.0%
recPKnbBZdZ38Jdoo,Stock,The Consultation,Issy Wood,sold,85000,USD,,94500,50.0%
recPdTrOH5OthFTSI,Stock,Before Minotaur,Robert Nava,available,319800,GBP,14T,,50.0%
recPi2QmaUUQdw8SR,Stock,Returning Back 1,Mosie Romney,sold,18000,USD,,12600,100.0%
recPmBy6OPFaa3Gq8,Stock,Fidenza #724,Tyler Hobbs,in_wallet,182700,GBP,Wallet Stagadon,,50.0%
recPyTlof2D5n5g3D,Stock,Untitled (splashes),John M Armleder,sold,40000,USD,,13426.65,33.3333%
recQ6T15BcTkPUvUI,Stock,Girl with Laughing Cat,Victor Man,consigned,180000,EUR,Collonge,,100.0%
recQFGpiJBsmiRAdi,Stock,"Untitled 2022 (The Street, 1970)",Rirkrit Tiravanija,available,19800,USD,14T,,100.0%
recQMoIvYsdJSUAnC,Stock,"Untitled, n.d.",Chico da Silva (Francisco Domingos da Silva),available,43333.33,USD,14T,,100.0%
recQQr3jxHRL3j5pi,Stock,Untitled (Flat),Alex Israel,sold,39000,USD,,100500,30.0%
recQUcoBsQq5kThoq,Stock,TBC,Otani Workshop,sold,28500,USD,,34444,50.0%
recQg5R2arJO9DNs4,Stock,"Dakar, Senegal #5,",Henry Taylor,sold,200000,USD,,260000,100.0%
recQhiM9478FGYz0v,Stock,Untitled,M'onma,available,4000,USD,14T,,100.0%
recQs6JVT8K7iiRIR,Stock,Hang it over my head or hide it under my thumb (Kaya),Chloe Wise,available,27200,USD,Harsch,,100.0%
recQxObdbgC1BcFHt,Stock,B-445 Biomechanical Interior,HR Giger,participating,72500,CHF,Lohengrin,,50.0%
recRETCJgbnpVk7xE,Stock,Untitled,M'onma,available,6240,USD,14T,,100.0%
recRFPb1YMFR6uDHY,Stock,Diane,John Kacere,participating,65000,USD,Gratin,,50.0%
recRIUvZC4WVXf23m,Stock,"Artificial Realities: Winds of LA, Pacific Ocean, California Landscapes",Refik Anadol,available,400000,USD,Sotheby's Saudi,,100.0%
recRJ3RvC2i4TYP53,Stock,Time's Will,José Parlà,sold,42500,USD,,56768.67,100.0%
recRNEXmgRRPl9asD,Stock,Untitled (Poster Painting),Klara Liden,sold,200000,USD,Harsch,55000,100.0%
recROcd1nNsVK8nAC,Stock,The Midnight Fire,Xinyi Cheng,sold,230000,USD,,800000,100.0%
recRRvJg2KMiFI7XH,Stock,Untitled,Maria Bartuszova,consigned,160000,USD,14T,,100.0%
recRVi6JrhZGvnmb4,Stock,Riders on the Storm,Angel Otero,sold,90000,USD,,210000,100.0%
recRZdLszmpyGgUWE,Stock,Untitled,Albert Oehlen,sold,775000,USD,,4200000,15.5%
recRhdNY83eGzVf6y,Stock,Wandering in the Starry Sky,Yuan Fang,participating,5750,USD,Chalk & Vermilion,,50.0%
recRjCIab7UnZc9g4,Stock,Untitled,Salvatore Emblema,pending_purchase,75000,EUR,où,,100.0%
recS58mDByHv05pZq,Stock,"White Panties, White Slip, Side view",John Kacere,sold,42500,USD,,78750,50.0%
recSSuPi3bVLK6iof,Stock,Fleur imaginaire,Anna Zemankova,consigned,20800,EUR,Fair Warning,,100.0%
recSTnUYoS6QqcHsb,Stock,Groove Man,Andy Robert,participating,105000,USD,Darrow Contemporary,,50.0%
recSmeQFEUz0TvSvf,Stock,Catherine and Midnight,Takako Yamaguchi,sold,175000,USD,,217000,25.0%
recSwKSSXjhTAL4fo,Stock,"Masque Île de Nissan, Iles Green, Papouasie-Nouvelle-Guinée",Art Afrique,available,69300,EUR,14T,,100.0%
recT7CVDgeAAwVz0L,Stock,B. Nowak,John Kacere,participating,12500,USD,Gratin,,25.0%
recT7QsFOb9BhZ4a6,Stock,Sans Titre ≠ 2,Elladj Lincy Deloumeaux,sold,500,EUR,,,100.0%
recTHOAL8O1YRFx7Q,Stock,Raining Flowers 02,Yuan Fang,participating,5750,USD,Chalk,,50.0%
recTjbXSixxKHdRUB,Stock,Shoes,Todd Bienvenu,available,35000,USD,UOVO Delaware,,100.0%
recTxfsU8vkBfO92B,Stock,Untitled,Anna Zemankova,in_transit,65000,USD,14 T,,100.0%
recUGTKA5ON6TPArp,Stock,Counterclockwise,Takako Yamaguchi,sold,180000,USD,,240000,100.0%
recUHXu6uoxFyyaSS,Stock,Untitled,John Kacere,sold,8334,USD,,21000,33.3333%
recUKf4nE5wZ0hZNQ,Stock,Entrückt,Lewis Hammond,available,40000,EUR,UOVO Delaware,,100.0%
recUO365Mpkm2nUJK,Stock,Wisteria,Lynne Drexler,sold,185000,USD,,297500,50.0%
recUctCsCQQ3pGr8U,Stock,Untitled,Marina Perez Simao,sold,135000,USD,,205000,100.0%
recUw9zfznLBQA7ho,Stock,Untitled,Israel Lund,sold,500000,USD,,1700,100.0%
recUwBa60i2UiJBNY,Stock,Bastu,Steven Shearer,sold,20000,USD,,4200,100.0%
recV01WWo3JX01ZF9,Stock,Meubles,Divers,available,48000,EUR,14T,,100.0%
